name,year,sust_winds_mph,pressure_hpa,category
1947 Fort Lauderdale hurricane,1947,145.0,938.0,4
1948 Bermuda–Newfoundland hurricane,1948,130.0,940.0,4
September 1948 Florida hurricane,1948,130.0,940.0,4
1949 Florida hurricane,1949,130.0,954.0,4
Hurricane Dog,1950,145.0,943.0,4
Hurricane Fox,1950,140.0,946.0,4
Hurricane King,1950,130.0,955.0,4
"Hurricane Ella	
",1978,140.0,956.0,4
"Hurricane Greta	
",1978,130.0,947.0,4
"Hurricane Frederic	
",1979,130.0,943.0,4
"Hurricane Harvey	
",1981,130.0,946.0,4
"Hurricane Debby	
",1982,130.0,950.0,4
"Hurricane Diana	
",1984,130.0,949.0,4
"Hurricane Gloria	
",1985,145.0,919.0,4
"Hurricane Helene	
",1988,145.0,938.0,4
"Hurricane Joan	
",1988,145.0,932.0,4
"Hurricane Gabrielle	
",1989,145.0,937.0,4
"Hurricane Claudette	
",1991,130.0,944.0,4
"Hurricane Felix	
",1995,140.0,929.0,4
"Hurricane Luis	
",1995,150.0,935.0,4
"Hurricane Opal	
",1995,150.0,916.0,4
"Hurricane Edouard	
",1996,145.0,933.0,4
"Hurricane Hortense	
",1996,140.0,935.0,4
"Hurricane Georges	
",1998,155.0,937.0,4
"Hurricane Bret	
",1999,145.0,944.0,4
"Hurricane Cindy	
",1999,140.0,942.0,4
"Hurricane Floyd	
",1999,155.0,921.0,4
"Hurricane Gert	
",1999,150.0,930.0,4
"Hurricane Lenny	
",1999,155.0,933.0,4
"Hurricane Isaac	
",2000,140.0,943.0,4
"Hurricane Keith	
",2000,140.0,939.0,4
"Hurricane Iris	
",2001,145.0,948.0,4
"Hurricane Michelle	
",2001,140.0,933.0,4
"Hurricane Lili	
",2002,145.0,938.0,4
"Hurricane Fabian	
",2003,145.0,939.0,4
"Hurricane Charley	
",2004,150.0,941.0,4
"Hurricane Frances	
",2004,145.0,935.0,4
"Hurricane Karl	
",2004,145.0,938.0,4
"Hurricane Dennis	
",2005,150.0,930.0,4
"Hurricane Gustav	
",2008,155.0,941.0,4
"Hurricane Ike	
",2008,145.0,935.0,4
"Hurricane Omar	
",2008,130.0,958.0,4
"Hurricane Paloma	
",2008,145.0,944.0,4
"Hurricane Bill	
",2009,130.0,943.0,4
"Hurricane Danielle	
",2010,130.0,942.0,4
"Hurricane Earl	
",2010,145.0,927.0,4
"Hurricane Igor	
",2010,155.0,924.0,4
"Hurricane Julia	
",2010,140.0,948.0,4
"Hurricane Katia	
",2011,140.0,942.0,4
"Hurricane Ophelia	
",2011,140.0,940.0,4
"Hurricane Gonzalo	
",2014,145.0,940.0,4
"Hurricane Joaquin	
",2015,155.0,931.0,4
"Hurricane Nicole	
",2016,140.0,950.0,4
"Hurricane Harvey	
",2017,130.0,937.0,4
"Hurricane Jose	
",2017,155.0,938.0,4
"Hurricane Florence	
",2018,150.0,937.0,4
"Hurricane Laura	
",2020,150.0,937.0,4
"Hurricane Teddy	
",2020,140.0,945.0,4
"Hurricane Delta	
",2020,145.0,953.0,4
"Hurricane Eta	
",2020,150.0,923.0,4
"""Cuba""",1924,165.0,910.0,5
"""San Felipe II Okeechobee""",1928,160.0,929.0,5
"""Bahamas""",1932,160.0,921.0,5
"""Camaguey""",1932,175.0,915.0,5
"""Cuba–Brownsville""",1933,160.0,930.0,5
"""Tampico""",1933,160.0,929.0,5
"""Labor Day""",1935,185.0,892.0,5
"""New England""",1938,160.0,940.0,5
Carol,1953,160.0,929.0,5
Janet,1955,175.0,914.0,5
Esther,1961,160.0,919.0,5
Hattie,1961,165.0,914.0,5
Beulah,1967,160.0,923.0,5
Camille,1969,175.0,900.0,5
Edith,1971,160.0,943.0,5
Anita,1977,175.0,926.0,5
David,1979,175.0,924.0,5
Allen,1980,190.0,899.0,5
Gilbert,1988,185.0,888.0,5
Hugo,1989,160.0,918.0,5
Andrew,1992,175.0,922.0,5
Mitch,1998,180.0,905.0,5
Isabel,2003,165.0,915.0,5
Ivan,2004,165.0,910.0,5
Emily,2005,160.0,929.0,5
Katrina,2005,175.0,902.0,5
Rita,2005,180.0,895.0,5
Wilma,2005,185.0,882.0,5
Dean,2007,175.0,905.0,5
Felix,2007,175.0,929.0,5
Matthew,2016,165.0,934.0,5
Irma,2017,180.0,914.0,5
Maria,2017,175.0,908.0,5
Michael,2018,160.0,919.0,5
Dorian,2019,185.0,910.0,5
Lorenzo,2019,160.0,925.0,5
Iota,2020,160.0,917.0,5
