name,year,sust_winds_mph,pressure_hpa,category
Judith,1959,85.0,988.0,1
Abby,1960,80.0,995.0,1
Cleo,1960,85.0,995.0,1
Debbie,1961,90.0,975.0,1
Jenny,1961,80.0,974.0,1
Alma,1962,85.0,984.0,1
Ten,1962,90.0,988.0,1
Four,1963,80.0,990.0,1
Debra,1963,75.0,999.0,1
Three,1964,85.0,990.0,1
Carol,1965,90.0,974.0,1
Becky,1966,75.0,985.0,1
Celia,1966,80.0,995.0,1
Dorothy,1966,85.0,989.0,1
Lois,1966,80.0,986.0,1
Arlene,1967,85.0,982.0,1
Doria,1967,85.0,973.0,1
Fern,1967,85.0,987.0,1
Heidi,1967,90.0,981.0,1
Abby,1968,75.0,992.0,1
Brenda,1968,75.0,990.0,1
Dolly,1968,80.0,985.0,1
Gladys,1968,85.0,965.0,1
Blanche,1969,85.0,997.0,1
Holly,1969,85.0,984.0,1
Ten,1969,75.0,985.0,1
Seventeen,1969,75.0,988.0,1
Martha,1969,90.0,975.0,1
Alma,1970,75.0,993.0,1
Nineteen,1970,80.0,988.0,1
Two,1971,85.0,974.0,1
Beth,1971,85.0,977.0,1
Fern,1971,90.0,979.0,1
Irene,1971,80.0,989.0,1
Agnes,1972,90.0,977.0,1
Dawn,1972,80.0,997.0,1
Alice,1973,90.0,986.0,1
Brenda,1973,90.0,977.0,1
Fran,1973,80.0,978.0,1
Gertrude,1974,75.0,999.0,1
Blanche,1975,85.0,980.0,1
Candice,1976,90.0,964.0,1
Holly,1976,75.0,990.0,1
Babe,1977,75.0,995.0,1
Clara,1977,75.0,993.0,1
Dorothy,1977,85.0,980.0,1
Evelyn,1977,80.0,994.0,1
Cora,1978,90.0,980.0,1
Kendra,1978,80.0,990.0,1
Bob,1979,75.0,983.0,1
Henri,1979,85.0,986.0,1
Charley,1980,80.0,989.0,1
Georges,1980,80.0,993.0,1
Earl,1980,75.0,985.0,1
Karl,1980,85.0,985.0,1
Dennis,1981,80.0,995.0,1
Emily,1981,90.0,966.0,1
Katrina,1981,85.0,980.0,1
Alberto,1982,85.0,985.0,1
Barry,1983,80.0,986.0,1
Chantal,1983,75.0,994.0,1
Hortense,1984,75.0,993.0,1
Klaus,1984,90.0,971.0,1
Lili,1984,80.0,980.0,1
Bob,1985,75.0,1002.0,1
Claudette,1985,85.0,980.0,1
Danny,1985,90.0,987.0,1
Juan,1985,85.0,971.0,1
Bonnie,1986,85.0,992.0,1
Charley,1986,80.0,987.0,1
Frances,1986,85.0,1000.0,1
Arlene,1987,75.0,987.0,1
Floyd,1987,75.0,993.0,1
Debby,1988,75.0,991.0,1
Florence,1988,80.0,982.0,1
Chantal,1989,80.0,984.0,1
Felix,1989,85.0,979.0,1
Jerry,1989,85.0,982.0,1
Bertha,1990,80.0,973.0,1
Josephine,1990,85.0,980.0,1
Klaus,1990,80.0,985.0,1
Lili,1990,75.0,987.0,1
Nana,1990,85.0,989.0,1
1991 Perfect Storm,1991,75.0,980.0,1
Frances,1992,85.0,976.0,1
Floyd,1993,75.0,990.0,1
Harvey,1993,75.0,990.0,1
Chris,1994,80.0,979.0,1
Gordon,1994,85.0,980.0,1
Allison,1995,75.0,987.0,1
Noel,1995,75.0,987.0,1
Tanya,1995,85.0,972.0,1
Cesar,1996,85.0,985.0,1
Dolly,1996,80.0,989.0,1
Marco,1996,75.0,983.0,1
Bill,1997,75.0,986.0,1
Danny,1997,80.0,984.0,1
Ivan,1998,90.0,975.0,1
Lisa,1998,75.0,995.0,1
Nicole,1998,85.0,979.0,1
Debby,2000,85.0,991.0,1
Florence,2000,80.0,985.0,1
Gordon,2000,80.0,981.0,1
